word	onset	duration
moi	178.85	0.3
une	179.2	0.3
question	179.55	0.3
de	179.9	0.3
vie	180.25	0.3
ou	180.6	0.3
de	180.95	0.3
mort.	181.3	0.3
j'avais	181.65	0.3
à	182	0.3
peine	182.35	0.3
de	182.7	0.3
l'eau	183.05	0.3
à	183.4	0.3
boire	183.75	0.3
pour	184.1	0.3
huit	184.45	0.3
jours.	184.8	0.3
le	185.5	0.3
premier	185.85	0.3
soir	186.2	0.3
je	186.55	0.3
me	186.9	0.3
suis	187.25	0.3
donc	187.6	0.3
endormi	187.95	0.3
sur	188.3	0.3
le	188.65	0.3
sable	189	0.3
à	189.35	0.3
mille	189.7	0.3
milles	190.05	0.3
de	190.4	0.3
toute	190.75	0.3
terre	191.1	0.3
habitée.	191.45	0.3
j'étais	191.8	0.3
bien	192.15	0.3
plus	192.5	0.3
isolé	192.85	0.3
qu'un	193.2	0.3
naufragé	193.55	0.3
sur	193.9	0.3
un	194.25	0.3
radeau	194.6	0.3
au	194.95	0.3
milieu	195.3	0.3
de	195.65	0.3
l'océan.	196	0.3
alors	196.35	0.3
vous	196.7	0.3
imaginez	197.05	0.3
ma	197.4	0.3
surprise,	197.75	0.3
au	198.1	0.3
lever	198.45	0.3
du	198.8	0.3
jour,	199.15	0.3
quand	199.5	0.3
une	199.85	0.3
drôle	200.2	0.3
de	200.55	0.3
petite	200.9	0.3
voix	201.25	0.3
m'a	201.6	0.3
réveillé.	201.95	0.3
elle	202.3	0.3
disait	202.65	0.3
:	203	0.3
"s'il	204.05	0.3
vous	204.4	0.3
plaît...	204.75	0.3
dessine-moi	205.1	0.3
un	205.45	0.3
mouton!	205.8	0.3
-	206.5	0.3
hein!	206.85	0.3
-	207.55	0.3
dessine-moi	207.9	0.3
un	208.25	0.3
mouton..."	208.6	0.3
j'ai	209.3	0.3
sauté	209.65	0.3
sur	210	0.3
mes	210.35	0.3
pieds	210.7	0.3
comme	211.05	0.3
si	211.4	0.3
j'avais	211.75	0.3
été	212.1	0.3
frappé	212.45	0.3
par	212.8	0.3
la	213.15	0.3
foudre.	213.5	0.3
j'ai	213.85	0.3
