,"word","duration","onset"
337,"on",0.240000000000038,382.14
338,"s'",0.0900000000000034,382.38
339,"est",0.47999999999999,382.47
340,"égaré",1.20000000000002,382.95
341,"pendant",0.809999999999945,384.15
342,"la",0.389999999999986,384.96
343,"nuit",0.810000000000031,385.35
344,"j'",0.27000000000001,389.61
345,"ai",0.389999999999986,389.88
346,"ainsi",1.31999999999999,390.27
347,"eu",0.75,391.59
348,"au",0.194999999999993,392.67
349," ",0.195000000000078,392.865
350,"cours",0.719999999999942,393.06
351,"de",0.330000000000041,393.78
352,"ma",0.599999999999966,394.11
353,"vie",0.659999999999997,394.71
354,"des",0.75,396.27
355,"tas",0.780000000000058,397.17
356,"de",0.389999999999986,397.95
357,"contacts",1.61999999999998,398.34
358,"avec",0.870000000000061,399.96
359,"des",0.629999999999939,400.83
360,"tas",0.870000000000061,401.46
361,"de",0.299999999999983,402.33
362,"gens",0.629999999999939,402.63
363,"sérieux",1.59,403.26
364,"j'",0.600000000000051,406.35
365,"ai",0.180000000000007,406.95
366,"beaucoup",1.79999999999998,407.13
367,"vécu",0.930000000000007,408.93
368,"chez",0.569999999999993,409.86
369,"les",0.329999999999956,410.43
370,"grandes",0.840000000000003,410.76
371,"personnes",1.83000000000004,411.6
372,"je",0.600000000000051,414.03
373,"les",0.659999999999997,414.63
374,"ai",0.299999999999983,415.29
375,"vues",0.509999999999963,415.59
376,"de",0.510000000000048,416.1
377,"très",1.04999999999998,416.61
378,"près",0.779999999999973,417.66
379,"ça",0.599999999999966,420.66
380,"n'",0.210000000000065,421.26
381,"a",0.449999999999932,421.47
382,"pas",0.47999999999999,422.25
383,"trop",0.869999999999976,422.73
384,"amélioré",1.56000000000003,423.6
385,"mon",0.569999999999993,425.16
386,"opinion",1.41,425.73
387,"quand",0.540000000000021,430.53
388,"j'",0.27000000000001,431.07
389,"en",0.419999999999959,431.34
390,"rencontrais",2.61000000000001,431.76
391,"une",0.569999999999993,434.37
392,"qui",0.600000000000051,434.94
393,"me",0.47999999999999,435.54
394,"paraissait",1.73999999999995,436.02
395,"un",0.659999999999997,437.76
396,"peu",0.630000000000024,438.42
397,"lucide",1.79999999999998,439.05
398,"je",0.599999999999966,441.81
399,"faisais",1.08000000000004,442.41
400,"l'",0.20999999999998,443.49
401,"expérience",2.18999999999997,443.7
402,"sur",0.510000000000048,445.89
403,"elle",0.689999999999969,446.4
404,"de",0.329999999999956,447.09
405,"mon",0.450000000000017,447.42
406,"dessin",1.02000000000001,447.87
407,"numéro",1.26000000000005,448.89
408,1,0.720000000000027,450.36
409,"que",0.330000000000041,452.07
410,"j'",0.47999999999999,452.4
411,"ai",0.389999999999986,452.88
412,"toujours",1.74000000000004,453.66
413,"conservé",1.97999999999999,455.4
414,"je",0.599999999999966,459.33
415,"voulais",0.75,459.93
416,"savoir",1.34999999999997,460.68
417,"si",0.510000000000048,462.03
418,"elle",0.360000000000014,462.54
419,"était",0.809999999999945,462.9
420,"vraiment",1.53000000000006,463.71
421,"compréhensive",2.81999999999999,465.24
422,"mais",0.95999999999998,470.52
423,"toujours",2.06999999999999,471.48
424,"elle",0.47999999999999,473.79
425,"me",0.329999999999956,474.27
426,"répondait",1.74000000000004,474.6
427,"c'",0.329999999999956,478.2
428,"est",0.450000000000017,478.53
429,"un",0.150000000000034,478.98
430,"chapeau",1.41,479.13
431,"alors",2.22000000000003,484.11
432,"je",0.0899999999999182,486.33
433,"ne",0.0900000000000034,486.42
434,"lui",0.690000000000055,486.51
435,"parlais",1.07999999999996,487.2
436,"ni",0.840000000000003,488.28
437,"de",0.360000000000014,489.12
438,"serpents",1.22999999999999,489.48
439,"boas",1.26000000000005,490.71
440,"ni",0.659999999999997,492.87
441,"de",0.330000000000041,493.53
442,"forêts",1.02000000000001,493.86
443,"vierges",1.52999999999997,494.88
444,"ni",0.659999999999997,497.19
445,"d'",0.150000000000034,497.85
446,"étoiles",1.68000000000001,498
447,"je",0.599999999999966,501.54
448,"me",0.690000000000055,502.14
449,"mettais",0.989999999999952,502.83
450,"à",0.20999999999998,503.82
451,"sa",0.569999999999993,504.03
452,"portée",1.44000000000005,504.6
453,"je",0.540000000000021,507.51
454,"lui",0.420000000000044,508.05
455,"parlais",0.840000000000003,508.47
456,"de",0.359999999999928,509.31
457,"bridge",1.44000000000005,509.67
458,"de",0.540000000000021,511.86
459,"golf",1.64999999999995,512.4
460,"de",0.389999999999986,514.41
461,"politique",1.79999999999998,514.8
462,"et",0.119999999999976,517.29
463,"de",0.389999999999986,517.41
464,"cravates",2.01000000000005,517.8
465,"et",0.149999999999949,522.27
466,"la",0.420000000000044,522.42
467,"grande",0.810000000000031,522.84
468,"personne",1.52999999999997,523.65
469,"était",0.599999999999966,525.45
470,"bien",0.900000000000034,526.05
471,"contente",1.68000000000001,526.95
472,"de",0.0900000000000034,528.63
473,"connaître",1.19999999999993,528.72
474,"un",0.420000000000044,529.92
475,"homme",0.659999999999997,530.34
476,"aussi",1.52999999999997,531.45
477,"raisonnable",2.31000000000003,532.98
